sp;eng
engine.h;engine.h
room08.h;room08.h
Door;Door
Window;Window
Computer;Computer
Manual;Manual
Computer;Computer
Nerd;Nerd
Computer;Computer
Chair;Chair
What game are you playing?;What game are you playing?
So, you will help me to pass the history exam?;So, you will help me to pass the history exam?
Are you using the computer room to play games?;Are you using the computer room to play games?
I don't bother you;I don't bother you
The ultimate strategy game is Civilization;The ultimate strategy game is Civilization
You seem to be very good at strategy games;You seem to be very good at strategy games
I prefer point and click games;I prefer point and click games
I don't want to distract you;I don't want to distract you
Don't you have a bit of an obsession with historical wars?;Don't you have a bit of an obsession with historical wars?
If you're so good at the history, Couldn't you help me?;If you're so good at the history, Couldn't you help me?
Very interesting;Very interesting
If you help me, you can tell people that we're friends;If you help me, you can tell people that we're friends
If you help me, I will go for an afternoon snack with milk and biscuits at your house;If you help me, I will go for an afternoon snack with milk and biscuits at your house
If you help me, I wil teach you how to do cool levels for DOOM;If you help me, I wil teach you how to do cool levels for DOOM
Well, forget it...;Well, forget it...
What do I need for the costume?;What do I need for the costume?
Great, Thank you!;Great, Thank you!
I'm playing Age of Empires!;I'm playing Age of Empires!
The Ultimate Strategy Game;The Ultimate Strategy Game
I'm using all my war knowledge to make perfect game;I'm using all my war knowledge to make perfect game
I love to play that i'm a warlord and crush my enemies;I love to play that i'm a warlord and crush my enemies
My therapist says it channels the hatred I have inside;My therapist says it channels the hatred I have inside
If you want you can play with me;If you want you can play with me
Or come to my house and I will show you more games I have;Or come to my house and I will show you more games I have
Or we can have a snack and play Dragons and Dungeons;Or we can have a snack and play Dragons and Dungeons
I have a campaign that I think is the bes...;I have a campaign that I think is the bes...
ENOUGH!;ENOUGH!
No interest in that, thanks.;No interest in that, thanks.
Whatever;Whatever
And you told your parents to buy you the computer to study;And you told your parents to buy you the computer to study
TouchÃ©;Nailed
I love strategy games;I love strategy games
Everything to do with history and wars;Everything to do with history and wars
And destroy enemy armies with my great power;And destroy enemy armies with my great power
And don't think I'm just playing. I love reading history books and reading feats of great battles;And don't think I'm just playing. I love reading history books and reading feats of great battles
I also love it;I also love it
Everything to do with history and wars;Everything to do with history and wars
And I don't just play, I love reading history books and reading feats of great battles;And I don't just play, I love reading history books and reading feats of great battles
Who plays that kind of games these days?;Who plays that kind of games these days?
Don't believe it.;Don't believe it.
I think it's a very healthy hobby;I think it's a very healthy hobby
And it's not like I'm going to the school armed with a rifle;And it's not like I'm going to the school armed with a rifle
No, no... I won't be okay...;No, no... I won't be okay...
I need to pass the history exam;I need to pass the history exam
Of course my friend! We can meet at my house and teach you everything you need to know;Of course my friend! We can meet at my house and teach you everything you need to know
Hmm... I was thinking better about another way to help;Hmm... I was thinking better about another way to help
What do you mean?;What do you mean?
I was thinking about you taking the exam for me;I was thinking about you taking the exam for me
But...;But...
I don't wanna get in trouble...;I don't wanna get in trouble...
Don't worry! I've got it all figured out. You dress up as me and pass the exam;Don't worry! I've got it all figured out. You dress up as me and pass the exam
No one notices!;No one notices!
I don't know... I don't see it...;I don't know... I don't see it...
Â­Oh! Really?;Oh! Really?
