sp;eng
Puerta;Door
Espejo;Mirror
Dispensador papel;Paper dispenser
Lavabo;Sink
Agujero;Hole
¨A que te refieres con curso y asignatura?;What do you mean by grade and subject?
De verdad que necesito las respuestas de M tematicas de 1§ de BUP;I really need the answers of Maths topics of first grade
¨Que haces ah¡ dentro?;What are you doing in there?
¨Ya tienes las respuestas de Historia de 1§ de BUP?;Do you already have the answers for History first grade?
Necesito las respuestas de Historia de 1§ de BUP;I need first grade History answers
¨Est  este v ter ocupado?;Is this wc occupied?
¨Sigue este v ter ocupado?;"s this wc still occupied?"
Hasta luego;Bye
Pero esto no es muy legal ¨no?;But this is not very legal, isn't?
¨Como s que eres de fiar y son correctas las respuestas?;How I can trust that the answers are correct?
­Genial! Necesito las respuestas de M tematicas de 1§ de BUP;Terrific! I need the answers of Maths of first grade
­Perfecto! Necesito las respuestas de Historia de 1§ de BUP;Perfect! I need the first grade History answers
Gracias, pero no, gracias;Thanks, but no thanks.
Pero es que no tengo dinero, colega;But I don't have any money, bro
¨Hay algo que puedas aceptar a cambio de las respuestas?;Is there anything you can accept in exchange for the answers?
Muy caro...Me esperar a rebajas;Very expensive...I wait for sales
Muy caro...Me esperar a rebajas;Very expensive...I wait for sales
Dime curso y asignatura y te consigo respuestas a los ex menes;Tell me grade and subject and I'll get you answers to the exams
100% garantizado o devolvemos el dinero, tronco;100% guaranteed or we refund the money, bro
Colega, me dedico a hacer a la gente feliz;Dude, I'm all about making people happy
Consigo las respuestas para los ex menes del instituto;I get the answers for the exams of the high school
A cambio de una peque¤a compensaci¢n ec¢nomica, por supuesto;In exchange for a small economic compensation, of course
De algo hay que vivir, t¡o;You have to live from something, dude
Este v ter esta reservado para tareas empresariales;This wc is reserved for business tasks
Busc te otro para tus asuntos, colega;Look for another one for your affairs, bro
T¡o, la legalidad es un concepto muy subjetivo y difuminado en la sociedad actual de consumo;Dude, legality is a very subjective and blurred concept in today's consumer society
Adem s, estas respuestas no son lo peor que te pueden vender en un ba¤o de instituto, colega;Besides, these answers are not the worst thing that you can buy you in a high school bathroom, bro
Tio, si est s en un v ter buscando respuestas a ex menes es que est s desesperado;Man, if you're on a wc looking for answers to exams is that you're desperate
Ahora mismo soy tu mejor opci¢n;Right now, I'm your best option
Dabuten, son 1000 pesetas;Oki doki, it's 10 bucks
Lo siento colega, se me han acabado las respuestas de Historia de 1§ de BUP;Sorry dude, I'm out of first grade History answers
Parece que es una asignatura de las dif¡ciles y ya me han comprado todas las que ten¡a;It seems that it is one of the difficult subjects and they have already bought me all the ones they have
Mala suerte chaval;Bad luck kid
Si no hay dinero, no hay respuestas;No money, no answers
Mmmm....;Hmmm…
No s, mi principal motivaci¢n es el dinero;You know, my main motivation is money
Pero no te creas que soy tan superficial;But don't think I'm so shallow
Tambin tengo gustos muy exquisitos;I also have very exquisite tastes
Me gusta el buen cine;I like movies
Los c¢mics;Comics
Y sobretodo el manga y el anime;And especially manga and anime
Si pudieras conseguirme algo de eso, quiz s podemos llegar a un acuerdo;If you could get me some of that, maybe we can come to an agreement
Es la puerta que da al pasillo del instituto;It is the door that leads to the high school hallway
El programador del juego ha sido tan vago como para no programar los reflejos...;The game programmer has been so lazy as not to program the reflexes...
Otro espejo con reflejo sin programar...;Another mirror with unprogrammed reflection...
Con lo poco que cuesta programar los reflejos...;With how little it costs to program the reflexes...
Un dispensador de papel;A Paper dispenser
Tan in£til como su capacidad para secar;As unuseful as its ability to dry
Prefiero que no;I prefer don't
Este papel corta mas que seca;This paper cuts rather than dries
¨Se lavar  alguien las manos en este instituto?;Will anyone wash their hands in this school?
No deberia mojar los granos de avena con agua;I should not wet oat grains with water
Deber¡a usar algo mas viscoso;I should use something more viscous
Un WC con todas las condiciones higuinicas que podr¡as esperar;A toilet with all the hygienic conditions you could expect
Buf... Iba a esperarme a terminar la aventura pero no pod¡a mas;Ugh... I was going to wait to finish the adventure but I couldn't wait anymore
Parece que hay alguien dentro de este WC...;Looks like there's someone inside this toilet...
Ya no necesito nada de este tipo;I don't need anything more from this guy
¨Hola?;Hello?
¨Curso y asignatura?;Course and subject?
¨Porqu deber¡a darle esta fotocopia de Dragon Ball?;¨Why should I give him this photocopy of Dragon Ball?
Perdona...;Sorry...
¨Qu quieres, t¡o?;What do you want, dude?
Dec¡as que te gustaba el manga, ¨no?;You said you liked manga, right?
Pues tengo esta fotocopia exclusiva de Dragon Ball para ti;Well, I have this exclusive photocopy of Dragon Ball for you
¨UNA FOTOCOPIA DE DRAGON BALL?;A PHOTOCOPY OF DRAGON BALL?
Colega, eres un crack. ­Me encanta Dragon Ball!;Dude, you're rocks!. I love Dragon Ball!
D mela y te dar las respuestas del examen de Matem ticas;Give me and give you the answers to the Maths exam
­Wow gracias! ­Encima es de Goku!;Wow thank you! In addition is from Goku's!
Aqu¡ tienes las respuestas;Here are the answers
­Gracias!;Thank you!
­Genial! ­Ya he aprobado todo!;Great! I've already passed everything!
Con estas respuestas ya tengo aprobado el examen de matem ticas;With these answers I have already passed the maths exam
Deber¡a guardarme todo el dinero que pueda para comprar la entrada;I must keep as much money as I can to buy the ticket
­Tio! ¨Para que quiero esto?;Dude! What do I want this for?
Paso, colega;Pass, bro
Nasti de plasti;No way
No, gracias;No, thanks
Para ti, tio;For you, dude
La puerta de este WC tiene un agujero sospechoso...;The door of this toilet has a suspicious hole...
­Ocupado!;Busy!
­Perd¢n!;Sorry!
