sp;eng
Guitarra;Guitar
Minicadena;Stereo
Puerta;Door
Casete;Cassette
Ara¤a;Spider
Tambor;Drum
Cosa;Thing
Gafas;Glasses
Cd;Cd
Poster;Poster
Cajones;Drawers
Sof ;Couch
Ordenador;Computer
Figuras;Figures
Cartucho vac¡o;Empty cartridge
Impresora;Printer
Libro 1;Book 1
Libro 3;Book 3
Revista;Magazine
Libro 2;Book 2
Ventana;Window
Mi guitarra marca Sonora;My Sonora brand guitar
Mi intento frustado de ser una estrella del rock;My frustrated attempt to be a rock star
Es mejor que se quede en la funda;It's better to stay in the case
Por mi bien, y por el bien de la m£sica;For my sake, and for the sake of music
Es mi minicadena Hifi £ltimo modelo;Is my brand new Hifi Stereo
La minicadena est  en marcha;The stereo is running
Con doble pletina, sintonizador de radio y equalizador gr fico;With double platen, radio tuner and graphic equalizer
­Alucina!;Amazing!
Ahora tiene una cinta dentro;Now it have a tape inside
No hay ning£n casete dentro para escuchar;There is no cassette inside to listen to
La cinta se ha enganchado;The tape has snagged
Ya se ha enganchado la cinta;Tape has already been snagged
Es la puerta que da al pasillo;It's the door leading to the corridor
Siempre est  abierta;It's always open
No tengo secretos para mis padres...;I have no secrets for my parents...
"Es un casete de lo £ltimo que ha sacado \""Reincidientes\""";"It's a cassette of the last album that \""The Repeaters Offenders\"" has taken out"
La £ltima compra que pude hacer cuando ten¡a dinero;The last purchase I was able to make when I had money
Es mi figura exclusiva de ara¤a de la serie He-man;It's my exclusive spider figure from the He-man series
­POR EL PODER DE GREYSKULL!;BY THE POWER OF GREYSKULL!
No creo que una ara¤a de juguete sea de mucha utilidad;I don't think that a spider toy would be very useful
Es mi tambor de mi poca de tamborilero;It's my drum from my drummer ages
En la poca que lo tocaba todav¡a no hab¡a descubierto el rock;In that time, I had not yet discovered rock
Ya dej el tambor hace mucho tiempo;I left the drum a long time ago
No s que puede ser eso...;I don't know what that could be...
Brilla un poco y parece estar pegado al suelo...;It shines a little and seems to be glued to the floor...
No consigo cogerlo;I can't catch it
Est  muy pegado al suelo;It's very glued to the floor
­Eureka! Con la esp tula lo he podido despegar;Eureka! With the spatula I was able to take it off
­Es una moneda de 100 pesetas!;It's a quarter coin!
Tiene muy poca superficie para hacer palanca;It has very little surface to leverage
Necesito algo mas ancho;I need something wider
Son mis gafas de cerca, de lejos y para leer;They are my glasses for near, for far and for reading
Tambin las uso cuando llevo lentillas;I also wear them when using contact lenses
No creo que las necesite;I don't think I need them
Con esta resolucion VGA de 320x240 los p¡xeles son como pu¤os;With this 320x240 VGA resolution the pixels are like bricks
Un amigo trajo al instituto esto que llaman compact disc;A friend brought to school what they call compact disc
Se supone que va a ser el formato musical del futuro;It's supposed to be the music format of the future
Como de momento no tengo nada para poder reproducirlo lo tengo ah¡ colgado porque brilla;As at the moment I have nothing to reproduce it so I have it hanging there because it shines
Ah¡ est  bien;It's ok there
Su brillo ahuyenta a los mosquitos;Its brightness drives away mosquitoes
Mi otro grupo favorito: Los de Marras;My other favorite group: Los de Marras
Tengo el presentimiento que a este grupo le va a ir muy bien en el futuro;I have a feeling that this group is going to do very well in the future
Est  mejor enganchado a la pared;It's better attached to the wall
Estos cajones no guardan mas que porquer¡a dentro;These drawers keep nothing but trash
