sp,eng
engine.h,engine.h
room03.h,room03.h
Gel,Gel
Armario,Cabinet
Lavabo,Sink
Espejo,Mirror
Toalla,Towel
Alfombrilla,CARPET
Interruptor,Switch
Puerta,Gate
Un bote de gel de ducha,A can of shower gel
Parece muy viscoso...,It looks very viscous...
El cl sico armario del ba¤o donde acabas acumulando cientos de productos,The classic closet of the bathroom where you end up accumulating hundreds of products
Ya est  abierto,Already open
Ya est  cerrado,Already closed
No olviden lavarse las manos antes de reincorporarse al trabajo...,Don't forget to wash your hands before returning to work...
No tengo las manos sucias,I don't have dirty hands
No deberia mojar los granos de avena con agua,You should not wet oat grains with water
Deber¡a usar algo mas viscoso,You should use something more viscous
El programador del juego ha sido tan vago como para no programar los reflejos...,The game programmer has been so vague as not to program the reflexes...
Otro espejo con reflejo sin programar...,Another mirror with unprogrammed reflection...
Con lo poco que cuesta programar los reflejos...,With how little it costs to program the reflexes...
Esta toalla lleva en la familia muchos a¤os,This towel has been in the family for many years
Deberiamos pensar en lavarla...,We should think about washing it...
La alfombrilla para secarte los pies despus de la ducha,The mat to dry your feet after the shower
Tambin es un nido de microbios y moho,It's also a nest of microbes and mold
Hay algo placentero en el sonido de un interruptor accion ndose,There is something pleasurable about the sound of an actuating switch being
La puerta est  cerrada,The Door has shut?
La puerta del ba¤o que da al pasillo,The bathroom door leading to the corridor
Ya est  abierta,Already open
Ya est  cerrada,Already closed
