sp;eng
Puerta;Door
Cartel;Poster
Papeler¡a;Stationery
Instituto;High School
Tienda;Store
Es la puerta de entrada a mi casa;It's the front door to my house
Zurraspa Producciones presenta:;Zurraspa Productions presents:
"\""Reincidientes\"" en concierto";"\""The Repeat Offenders\"" in concert"
Presentando su £ltimo disco en directo;Introducing their last live album
Precio de la entrada: 5000 pesetas;Entrance fee: 30 bucks
Tengo que conseguir el dinero como sea;I have to get the money somehow
Por all¡ se va a la papeler¡a;That's where you go to stationery
Por ah¡ se va hacia mi instituto;That's where you to my high school
Mi tienda de ordenadores de confianza;My trusted computer store
Aqui me compr mi Pentium 100 por un buen precio;Here I buy my Pentium 100 for a good price
Nah, ya me gast todo mi dinero en el Pentium;Nah, I already spent all my money on the Pentium
Adem s todo el que consiga lo necesito para ir al concierto;Also I need everything I get to go to the concert
¨He le¡do bien?;Did I read correctly?
"­Concierto de \""Reincidientes\""!";"Concert of \""The Repeat Offenders\""!"
­Mola!;Cool!
Presentando nuevo disco;Introducing new album
­­Mola!!;Cool!!
5000 pelas la entrada;30 bucks for ticket
­No mola!;Not cool!
¨5000 pelas la entrada? Yo no tengo tanto dinero;30 bucks for ticket? I don't have that much money
Bueno, ni tanto ni tan poco... ­Estoy sin blanca!;Well, not so much and not so little... I'm out of cash!
Pero he de ir a ese concierto a toda costa;But I have to go to that concert at all costs
­Tengo que conseguir el dinero como sea!;I have to get the money somehow!
