sp;eng
Puerta;Door
Carpetas;Folders
Material papeler¡a;Stationery material
Fotocopias;Photocopies
Papel;Paper
Impresora;Printer
Cartucho ;Cartridge
Papel impreso;Printed paper
Rat¢n;Mouse
Monitor;Monitor
Dependiente;Dependent
Bonita papeler¡a...;Nice stationery...
¨Puedo llevarme una carpeta?;Can I take a folder?
¨Qu son estas fotocopias que tenis?;What are these photocopies you have?
¨Para qu es la impresora?;What is the printer for?
¨Me puedes imprimir un horario?;Can you print me a schedule?
No necesito nada, gracias;I don’t need anything, thanks.
Me gustar¡a llevarme una fotocopia de Dragon Ball;I like to take a Dragon Ball photocopy
No tengo dinero...;I have no money
No me interesa, gracias;No interest in that, thanks
Gracias;Thank you
Es un negocio familiar de hace muchos a¤os y le ponemos mucho cari¤o;It is a family business of many years ago and we put a lot of love into it
Queremos que nuestros clientes estn siempre satisfechos;We want our customers to always be satisfied
Por supuesto;Of course
Tenemos tanta confianza en nuestras carpetas que puedes llevarte una para probarla;We're so confident in our folders that you can take one with you to try out
Tambin imprimimos los horarios del instituto gratis;We also print school schedules for free
Son fotocopias de la serie anime del momento: Dragon Ball;They are photocopies of the anime series of the moment: Dragon Ball
Son muy codiciadas por su valor coleccionista;They are highly coveted for their collector value
Adem s a la gente les gusta calcarlas y pintarlas por ellos mismos;Besides, people like to trace and paint them themselves
Tenemos un convenio con el instituto e imprimimos los horarios a quien lo necesite;We have an agreement with the collegue and we print the schedules to those who need it
Lo hacemos sin coste alguno para los alumnos;We do it at no cost to students
Por supuesto;Of course
Te lo imprimo ahora mismo;I'll print it out for you right now
­Oh vaya! Creo que ya hay un horario impreso de antes;­Oh wow! I think there's already a printed schedule from before
Ummm... Lo siento, me he quedado sin hojas en la impresora;Ummm... sorry, I ran out of sheets in the printer
Ummm... Lo siento, la impresora me dice error de cartucho;Ummm... sorry, the printer tells me cartridge error
Ya lo tienes;You got it 
­Espera!... mejor no, gracias;Wait!... better than not, thank you
Si imprimo el horario sobre la fotocopia de Dragon Ball la voy a estropear;If I print the schedule on the photocopy of Dragon Ball I will damaged it
Cada fotocopia vale 25 pesetas;Each photocopy is worth one dime
Lo siento. No te puedo regalar una fotocopia;Sorry. I can't give you a photocopy
Es un art¡culo muy preciado;It is a very precious item
Puerta;Door
­Oye! ¨Que llevas ah¡?;Hey! What do you have there?
