sp;eng
Pasillo;Corridor
Nevera;Fridge
Pap ;Dad
Papelera;Trash
Papel de cocina;Kitchen paper
Horno;Oven
Esp tula;Spatula
Reloj de cocina;Kitchen clock
Caja avena;Oat box
Armario;Closet
¨Por qu siempre estas leyendo el peri¢dico?;Why are you always reading the newspaper?
¨Por qu hay una habitaci¢n que nunca abrimos?;Why is there a room we never open?
Tengo que pedirte una cosa...;I have to ask you something...
¨Qu ten¡a que hacer para que me des el dinero?;What did I have to do to give me the money?
­YA HE APROBADO TODO!;I HAVE ALREADY APPROVED EVERYTHING!
Da igual...;Whatever...&#10;
Hay un concierto al que quiero ir...;There's a concert I want to go to...
¨Me das pasta, viejo?;Can I have some dough, man?
En realidad no era nada...;Forget about it...
Vaaa, porfavor... Me hace mucha ilusi¢n;Pleeaseee... I'm very excited
¨De verdad no quieres ser el mejor padre?;You really don't want to be the best father?
­­Vengaa!! ­Har lo que sea!;Come on!! I will do anything!
­Pero es que las Matem ticas son muy dif¡ciles!;But it's just that mathematics is very difficult!
­Pero es que Historia es un rollo!;But history sucks!
¨Educaci¢n F¡sica? ¨Para qu me sirve?;Physical Education? What it's usefulness?
Pues vaya rollo...;Fuck...
Por esa puerta se va al pasillo;You go through that door into the corridor
La nevera de la cocina rellena de rica comida;The kitchen fridge is filled with delicious food
No tengo hambre;I’m not hungry 
Creo que tengo mas recuerdos de mi padre leyendo el peri¢dico que jugando conmigo;I think I have more memories of my father reading the newspaperthan than playing with me
Ya tengo el dinero. No necesito hablar nada con l;I already have the money. I don't need to talk to him
Ejem... ¨Pap ?;Ahem... Dad?
Veamos...;Let's see 
Uf... Mejor deber¡a hablar con mi padre primero antes de ense¤arle las notas;Ugh... I'd better talk to my dad first before showing him the notes
Todav¡a tienes que aprobar:;You still need to pass:
Matem ticas;Mathematics
Historia;History
e Historia;and History
Educaci¢n f¡sica;Physical education
y Educaci¢n f¡sica;and Physical Education
Hasta que no lo apruebes todo no te dar el dinero;Until you approve everything, I don't give you the money
Hijo, guarda tus cosas;Son, put away your things.
Estoy leyendo. No me interrumpas;I'm reading. Don't interrupt me
No quiero nada de eso;I did not want that at all.
Muy bonito, pero para ti;Very nice, but for you
No molestes, hijo;Don't bother son
La papelera donde tiramos la basura de la cocina;The trash can where we throw the kitchen garbage
Est  vac¡a;It's empty
Acabo de tirar la basura hace poco;I just threw out the trash recently
Un rollo de papel de cocina;A kitchen roll
Que raro que est en la cocina;It's weird that it's in the kitchen
Mmm...A£n huele a pizza;Hmm...It's smells like pizza yet
Si tuviera hambre, me har¡a una pizza;If I'm hungry, I would make me a pizza
Si pretend¡as carbonizar el reloj, no es buena idea;If you intend to carbonize the clock, it's not a good idea
Si pretend¡as carbonizar el cerebro, no es buena idea;If you're trying to carbonize the brain, it's not a good idea
Una esp tula para reposter¡a;A spatula for confectionery
Sirve para extender el chocolate en las tartas, por ejemplo;It is used to spread chocolate on cakes, for example
O cualquier cosa viscosa;Or anything viscous
Un est£pido reloj de cocina en forma de estrella que compraron mis padres de viaje;A star-shaped kitchen clock that my parents bought on a trip
Una caja de copos de avena;A box of oat flakes
Un armario de la cocina;Kitchen closet
Ya est  abierto;Already open
Ya est  cerrado;Already closed
­Muy bien hijo!;Congratulations son!
Al final con trabajo y esfuerzo se consiguen metas;In the end, with work and effort, goals are achieved
Aqu¡ tienes el dinero;Here's the money
Pero pap , aqui solo hay 4900 pelas;But, Dad, there are only 29 bucks here
­La entrada del concierto vale 5000!;The concert ticket is worth 30!
Hijo, toma lo que te dan y suspira por lo que queda;Son, take what you're given and sigh for what's left
Ser  hijop...;You motherf...
Esa boca...;That mouth...
En la vida hay que estar informado, muchacho;In life, you have to be informed, boy
Y el peri¢dico es el £nico modo de enterarme de la verdad;And newspapers is the only way to find out the truth
Y no de esas bazofias que dicen por la tele;And not those bullshit things they say on TV
Si te lo dijera tendr¡a que matarte;If I told you I'd have to kill you
Adem s, no lo s;Besides, I don't know
Eso lo lleva tu madre;That's your mother matters
Hasta que no vea tus notas no lo creer;Until I see your califications don't believe it
Aprueba Matem ticas, Historia y Educaci¢n f¡sica y te dar el dinero;Pass Mathematics, History and Physical Education and give you the money
Es de mi grupo favorito;It's from my favorite group
Acaban de sacar disco y vienen a la ciudad a presentarlo;They just put out a record and come to the city to present it
El problema es que no tengo dinero y la entrada vale 5000 pelas;The problem is that I have no money and the ticket is worth 30 bucks
Ser¡as el mejor padre del mundo si me dejas el dinero;You will be the best father in the world if you give me the money
Ni lo sue¤es;Neither in your dreams
­Modera tu lenguaje jovenzuelo!;Moderate your language, youthful boy!
Mmmm...;Mmmm...;
Vamos a hacer un trato;Let's make a deal.
Si apruebas las asignaturas que has suspendido, te dar el dinero;If you pass the subjects you failed, I will give you the money
Para ello tendr s que aprobar Matem ticas, Historia y Educaci¢n F¡sica;For that, you will have to pass Mathematics, History and Physical Education
Es tu obligaci¢n aprender las Matem ticas;It is your obligation to learn mathematics
Para afrontar el futuro tienes que conocer bien el pasado;To face the future you have to know the past well
Hijo;Son
Educaci¢n F¡sica es una asignatura tan respetable e importante como las dem s;Physical Education is a subject as respectable and important as the other
Adem s te est s poniendo fond¢n;Besides, you are getting fatty
s
