sp,eng
engine.h,engine.h
room00.h,room00.h
Puerta,Gate
Cartel,Event Image
Papeler¡a,Papeler¡a
Instituto,Institute
Tienda,Store
Es la puerta de entrada a mi casa,It's the front door to my house
Zurraspa Producciones presenta:,Zurraspa Producciones presents:
\"Reincidientes\" en concierto,\"Repeat Offenders\" in concert
Presentando su £ltimo disco en directo,Presenting their £last live album
Precio de la entrada: 5000 pesetas,Entrance fee: 5000 pesetas
Tengo que conseguir el dinero como sea,I have to get the money anyway
Por all¡ se va a la papeler¡a,That's where you go to thetrash!
Por ah¡ se va hacia mi instituto,Sohe goes to my high school
Mi tienda de ordenadores de confianza,My Trusted Computer Store
Aqui me compr mi Pentium 100 por un buen precio,Here I buy my Pentium 100 for a good price
Nah, ya me gast todo mi dinero en el Pentium,Nah, I already spent all my money on the Pentium
Adem s todo el que consiga lo necesito para ir al concierto,In addition, everything I get I need to go to the concert
¨He le¡do bien?,"Do I do you good?"
­Concierto de \"Reincidientes\"!,-Concert of \"Repeat Offenders\"!
­Mola!,-Mola!
Presentando nuevo disco,Introducing New Album
­­Mola!!,­­Mola!!
5000 pelas la entrada,5000 peels the entrance
­No mola!,-It's not cool!
¨5000 pelas la entrada? Yo no tengo tanto dinero,¨5000 peel the entrance? I don't have that much money
Bueno, ni tanto ni tan poco... ­Estoy sin blanca!,Well, not so much and not so little... I'm penniless!
Pero he de ir a ese concierto a toda costa,But I have to go to that concert at all costs
­Tengo que conseguir el dinero como sea!,-I have to get the money anyway!
