engine.h,
room06.h,
Puerta,Door
Cerradura,Lock
Puerta,Door
Alfombrilla,mat
Llave,Key
Cuadro,Chart
Puerta,Door
Ventana,Window
Puerta,Door
Tabl¢n,Plank
Puerta,Door
Puerta,Door
Orla,Fringe
Banco,Bank
Puerta,Door
La puerta del instituto,The door of the institute
La tristeza que me da verla por las ma¤anas y la alegr¡a de verla cuando me voy,The sadness that makes me see her in the morning and the joy of seeing her when I leave
Veo por la cerradura que la llave esta metida por dentro,I see through the lock that the key is stuck inside.
Parece que la llave ha ca¡do a la alfombrilla por el otro lado,It seems that the key has fallen onto the mat on the other side
La alfombrilla est  muy hacia afuera y no llega hasta donde puede caer la llave,The mat is too far out and doesn't reach where the key can fall.
Si meto el escalpelo por la cerradura caer  al suelo y no podr recuperar la llave,If I put the scalpel through the lock it will fall to the floor and I won't be able to get the key back.
La llave ya ha ca¡do sobre la alfombrilla,The key has already fallen on the mat
­Eureka! La llave ha ca¡do sobre la alfombrilla,Eureka! The key has fallen on the mat
La esp tula es demasiado grande y no cabe por el ojo de la cerradura,The spatula is too big and won't fit through the keyhole
Es la puerta del armario de mantenimiento,It's the maintenance closet door.
La puerta est  cerrada,The door is closed
La puerta est  cerrada y no tengo la llave,The door is closed and I don't have the key.
La puerta est  cerrada con llave,The door is locked
Ya est  abierta,It is now open
Ya est  cerrada,It is already closed
Son mis notas,They are my notes
No querr¡a da¤arlas,I wouldn't want to damage them
Es demasiada fina,It's too thin
Estas respuestas son demasiado valiosas para usarlas aqu¡,These answers are too valuable to use here!
Es demasiado valioso para usarlo aqu¡,It's too valuable to use here!
He metido la alfombrilla por debajo de la puerta,I put the mat under the door
Est  bien donde est ,It's fine where it is 
La llave de la puerta del almacn de mantenimiento reposa sobre la alfombrilla,The key to the maintenance warehouse door rests on the mat
Un cuadro de una fotograf¡a del instituto rodeada de arboles y jardines,A picture of a photograph of the institute surrounded by trees and gardens
Ahora todo es cemento,Now everything is cement
Es la puerta del aula de inform tica,It is the door to the computer classroom
Es la ventana del aula de inform tica,It is the window of the computer classroom
As¡ puedes ver si hay alg£n ordenador disponible,This way you can see if there is a computer available
Es la puerta al aula de ciencia,It is the door to the science classroom
El tabl¢n de anuncios del instituto,The institute notice board
Se dan clases de matem ticas particulares. Contacto 555-5555,Private mathematics classes are given. Contact 555-5555
Grupo de m£sica rock busca guitarrista solista con equipo propio,Rock music group looking for solo guitarist with own equipment
Vota a Carlos para delegado de clase. Cuando solo hay un candidato,Vote Carlos for class representative. When there is only one candidate
Es la puerta que da a los ba¤os,It is the door that leads to the bathrooms
Es la puerta que va a los vestuarios,It's the door that goes to the locker room
Es la orla de la generaci¢n de profesores del 57,It is the border of the generation of teachers of '57
Una manada de dinosaurios es lo que son...,A herd of dinosaurs is what they are...
Creo que nunca me he sentado en este banco,I don't think I've ever sat on this bench.
Es la puerta que da al despacho del profesor de educaci¢n f¡sica,It is the door that leads to the physical education teacher's office
